 1B7GG2AN9YS629756 | 2000 | DODGE | Dakota
 1C3CDZBG8DN504146 | 2013 | DODGE | Avenger
 1G1AF1F57A7192174 | 2010 | CHEVROLET | Cobalt
 1FTEX1C85AFB83192 | 2010 | FORD | F-150
 1G1ZD5E09CF251160 | 2012 | CHEVROLET | Malibu
 1G4GD5EDXBF330171 | 2011 | BUICK | LaCrosse
 1FTSW2BR5AEA23373 | 2010 | FORD | F-250
 1C6RD6KT4CS332867 | 2012 | DODGE | Ram
 1G1PF5SC1C7142797 | 2012 | CHEVROLET | Cruze
 2C3CA5CG8BH558973 | 2011 | CHRYSLER | 300
 1HGCT2B88DA000025 | 2013 | HONDA | Accord
 2C3CA4CG9BH568826 | 2011 | CHRYSLER | 300
 1ZVBP8AM0D5265429 | 2013 | FORD | Mustang
 1YVHZ8CH2A5M03260 | 2010 | MAZDA | Mazda6
 1ZVBP8CH7A5121324 | 2010 | FORD | Mustang
 2C3CCACG5CH278240 | 2012 | CHRYSLER | 300
 2C3CCAET4CH256062 | 2012 | CHRYSLER | 300
 3C3CFFCR7CT272159 | 2012 | FIAT | 500
 2FABP7EV7BX127047 | 2011 | FORD | Crown Victoria
 3C3CFFER6CT225038 | 2012 | FIAT | 500
 2C3CCAFJ2CH801561 | 2012 | CHRYSLER | 300
 3D7UT2CL0BG625027 | 2011 | DODGE | Ram
 3D73Y3CL6BG585460 | 2011 | DODGE | Ram
 3D7UT2CL2BG587350 | 2011 | DODGE | Ram
 3VWDZ7AJ7BM373945 | 2011 | VOLKSWAGEN | Jetta
 3GCRKSE34AG162050 | 2010 | CHEVROLET | Silverado
 3VWDX7AJ5BM006256 | 2011 | VOLKSWAGEN | Jetta
 3LNHL2JC5CR800713 | 2012 | LINCOLN | MKZ
 3TMMU4FN8CM049190 | 2012 | TOYOTA | Tacoma
 3VWLL7AJ9BM053541 | 2011 | VOLKSWAGEN | Jetta
 4T1BF1FK4CU609641 | 2012 | TOYOTA | Camry
 4T4BF1FK4CR236137 | 2012 | TOYOTA | Camry
 4T1BB3EK3AU115504 | 2010 | TOYOTA | Camry
 4T1BF3EK5BU638805 | 2011 | TOYOTA | Camry
 5NPDH4AE0DH213924 | 2013 | HYUNDAI | Elantra
 5NPDH4AE6BH023266 | 2011 | HYUNDAI | Elantra
